,neighbourhood,lat,lon,year,single_detached_house,apartment_five_storeys_plus,movable_dwelling,semi_detached_house,row_house,duplex,apartment_five_storeys_less,other_house,average_house_value,shelter_costs_owned,shelter_costs_rented
127,Weston-Pellam Park,43.67396204,-79.46024391,2001,1000,545,5,1575,265,105,350,30,213749,597,961
128,Wexford/Maryvale,43.74857214,-79.29863657,2001,6000,1860,0,15,205,850,1000,10,211633,751,868
129,Willowdale East,43.77060226,-79.40148379,2001,3825,5010,0,60,725,30,840,0,284984,1207,1135
130,Willowdale West,43.77121049,-79.4275578,2001,2485,2110,5,145,25,15,190,0,283215,928,1092
131,Willowridge-Martingrove-Richview,43.68364496,-79.55422105,2001,3770,3115,0,535,230,5,65,0,282087,933,910
132,Woburn,43.76674024,-79.22858577,2001,7480,8035,5,460,265,610,150,0,181367,698,900
133,Woodbine Corridor,43.67677292,-79.31540738,2001,990,595,0,1965,235,110,1295,50,270607,649,1181
134,Woodbine-Lumsden,43.69410674,-79.31116353,2001,2105,690,0,330,25,145,255,15,224756,683,1042
135,Wychwood,43.67691927,-79.42551495,2001,1390,1295,0,1250,335,295,1295,30,343877,772,1149
136,Yonge-Eglinton,43.70468937,-79.40359017,2001,1650,1525,0,480,25,350,1175,10,491987,1035,1479
137,Yonge-St.Clair,43.68785887,-79.39787077,2001,670,3625,0,410,200,280,1020,25,494098,1091,1351
138,York University Heights,43.76573649,-79.48888293,2001,1385,5100,0,1080,560,25,1010,40,185859,757,890
139,Yorkdale-Glen Park,43.71467153,-79.45710807,2001,2540,1515,0,60,265,120,590,10,261784,761,895
